shap_somme_assuree,shap_nb_salaries,shap_historique_sinistres,shap_branche_prevoyance,shap_branche_rc,shap_branche_sante,shap_zone_geo_Cotier,shap_zone_geo_Paris,shap_zone_geo_Province,shap_secteur_btp,shap_secteur_industrie,shap_secteur_sante,shap_secteur_services
-0.14251946,-0.057063993,-0.056258366,0.14296398,0.0021200678,0.009706932,-0.091822736,-0.003337924,0.025010426,-0.014453548,0.0019260682,-0.06480793,0.0005345386
-0.12961604,0.2466028,-0.021314546,0.14702457,0.002057713,0.008506521,-0.100815944,0.0014449591,-0.05731609,-0.021044398,-0.013411652,0.0096929055,0.0050562792
-0.08494018,0.2457796,0.057160396,0.10893678,0.0041382327,0.0053206473,-0.080440216,0.00050755584,0.032788303,-0.012619886,-0.0033761046,-0.06508991,0.0030410225
-0.086032726,0.1583353,0.01795167,0.12518795,0.003587722,0.02026771,0.25958902,6.979651e-05,0.03437631,-0.011877182,-0.0005190531,0.0124162035,0.008264644
0.4504084,0.009538265,-0.021272948,-0.1901786,0.0013337573,-0.023252336,-0.09375397,0.0033353667,-0.027193284,-0.022941064,0.008563653,-0.0017319196,-0.001337377
-0.15009356,-0.04062533,-0.030344067,0.15195502,0.0020798917,0.009144017,-0.09680404,0.001634946,-0.047325462,-0.02224273,0.002031006,0.009071874,-0.001926842
-0.10007416,-0.013012857,-0.04136922,0.14769427,0.002091424,0.0081249215,-0.09933518,-0.0029780464,0.024111385,-0.00818777,-0.013688177,0.008101527,0.0003074411
-0.13197058,-0.043050427,-0.034131166,-0.17344518,-0.00868609,0.0070625963,-0.11826383,-0.0027018844,0.023319988,-0.025381647,0.002380997,-0.030312588,0.0005235526
-0.12598388,-0.029808734,-0.03510569,0.15334944,0.0021203356,0.0079242205,-0.09860258,-0.0033570942,0.025791628,-0.012948481,0.0019894768,0.008580125,-0.0012022353
-0.11569609,-0.054122485,-0.034450524,-0.12583433,0.0012571809,-0.06445131,0.33703762,0.0026492856,0.023967842,-0.022271872,0.0028315247,-0.026477829,0.0020826552
-0.13574918,-0.01458852,0.10974607,-0.1938341,0.0035255707,-0.019154673,-0.09538897,-0.0009542367,0.027446965,-0.0245269,0.0019175305,0.0033090035,-0.0020923337
-0.102940746,0.18177427,-0.030670954,-0.18939711,-0.008563239,0.0060361773,-0.12431736,-0.0028670481,0.024046771,-0.02411294,0.0022268489,0.0044211,-0.0041076723
-0.06863761,0.034190815,-0.041075364,0.1214945,0.0015284893,0.022092376,0.25346288,0.002833784,0.024092613,-0.012949013,-0.012702048,0.012357319,0.0018192888
-0.17775464,-0.065746404,0.07776754,-0.21641253,0.0030022413,-0.023559043,-0.10511375,-0.00042712054,-0.05425624,-0.038429182,0.0020083527,0.0025633355,-0.005749236
