somme_assuree,nb_salaries,historique_sinistres,branche_prevoyance,branche_rc,branche_sante,zone_geo_Cotier,zone_geo_Paris,zone_geo_Province,secteur_btp,secteur_industrie,secteur_sante,secteur_services
198136.0,155,0,True,False,False,False,True,False,False,True,False,False
88671.0,483,0,False,False,True,False,True,False,False,True,False,False
591268.0,114,5,True,False,False,False,False,True,False,False,True,False
161924.0,296,2,True,False,False,False,True,False,False,True,False,False
456479.0,465,2,True,False,False,True,False,False,False,False,True,False
933300.0,200,1,False,False,True,False,True,False,False,True,False,False
130107.0,187,4,False,False,True,True,False,False,True,False,False,False
2203222.0,354,2,False,True,False,False,False,True,True,False,False,False
21875.0,10,1,True,False,False,False,False,True,False,True,False,False
258999.0,119,4,True,False,False,False,False,True,False,True,False,False
162864.0,347,3,True,False,False,False,True,False,True,False,False,False
438776.0,284,1,True,False,False,False,True,False,False,False,True,False
59425.0,391,0,False,False,True,False,False,True,True,False,False,False
72310.0,243,0,True,False,False,False,False,True,False,True,False,False
81935.0,73,2,True,False,False,False,True,False,True,False,False,False
39441.0,62,1,False,False,True,False,True,False,False,False,False,True
77100.0,271,3,True,False,False,False,True,False,False,False,False,True
19019.0,26,0,False,False,True,False,True,False,False,False,True,False
545000.0,311,3,True,False,False,False,True,False,False,False,False,True
748058.0,465,3,False,True,False,False,True,False,False,False,False,True
109920.0,383,0,False,True,False,True,False,False,True,False,False,False
113830.0,243,3,True,False,False,False,True,False,False,False,False,True
280370.0,82,4,True,False,False,False,False,True,False,True,False,False
954916.0,366,3,True,False,False,False,True,False,False,False,False,True
265756.0,448,2,True,False,False,True,False,False,True,False,False,False
70471.0,100,4,False,False,True,False,False,True,False,False,False,True
23328.0,493,2,False,True,False,False,True,False,False,True,False,False
42695.0,15,1,False,False,True,False,False,True,False,False,False,True
74132.0,374,1,True,False,False,False,False,True,False,True,False,False
83825.0,479,1,False,False,True,True,False,False,False,False,False,True
45717.0,305,0,True,False,False,False,False,True,False,True,False,False
39639.0,356,2,False,False,True,False,True,False,False,False,False,True
1061109.0,494,1,True,False,False,False,False,True,False,False,True,False
472969.0,331,0,True,False,False,False,True,False,False,True,False,False
1298372.0,146,3,False,True,False,True,False,False,True,False,False,False
311122.0,276,4,True,False,False,False,False,True,True,False,False,False
97150.0,413,3,False,True,False,False,False,True,False,False,False,True
796521.0,125,3,False,True,False,False,True,False,False,True,False,False
212142.0,240,1,False,False,True,False,False,True,True,False,False,False
